Date,Site,Kpar
2014-09-01,BP05_s2,NA
2014-09-01,BP06_s2,0.2968602776527405
2014-09-01,BP08_s2,0.3324936628341675
2014-09-01,BP10_s2,0.5479282140731812
2014-09-01,BP13_s2,0.6571044325828552
2014-09-01,BP14_s2,0.6814184188842773
2014-09-01,LH01_s2,0.5199818015098572
2014-09-01,LH02_s2,0.5010261535644531
2014-09-01,LH07_s2,0.5386554002761841
2014-09-01,LH10_s2,0.6791976094245911
2014-09-01,PB02_s2,NA
2014-09-01,PB03_s2,NA
2014-09-01,PB10_s2,NA
2014-09-01,PB11_s2,NA
2014-09-01,PL02_s2,NA
2014-09-01,PL03_s2,NA
2014-09-01,PL14_s2,NA
2014-09-01,PL16_s2,NA
2014-10-01,BP01_s2,0.4100766181945801
2014-10-01,BP02_s2,0.34472453594207764
2014-10-01,BP03_s2,0.30035802721977234
2014-10-01,BP05_s2,0.40407460927963257
2014-10-01,BP06_s2,0.4101134240627289
2014-10-01,BP08_s2,0.3178645968437195
2014-10-01,BP10_s2,0.4780229926109314
2014-10-01,BP13_s2,0.31082311272621155
2014-10-01,BP14_s2,0.3812353014945984
2014-10-01,LH01_s2,NA
2014-10-01,LH02_s2,NA
2014-10-01,LH07_s2,NA
2014-10-01,LH10_s2,0.3834295868873596
2014-10-01,PB02_s2,NA
2014-10-01,PB03_s2,NA
2014-10-01,PB10_s2,NA
2014-10-01,PB11_s2,NA
2014-10-01,PL02_s2,NA
2014-10-01,PL03_s2,NA
2014-10-01,PL14_s2,NA
2014-10-01,PL16_s2,0.5083667039871216
2014-11-01,BP01_s2,0.3835102617740631
2014-11-01,BP02_s2,0.3176747262477875
2014-11-01,BP03_s2,0.36569416522979736
2014-11-01,BP05_s2,0.38933420181274414
2014-11-01,BP06_s2,0.3131614327430725
2014-11-01,BP08_s2,0.28384464979171753
2014-11-01,BP10_s2,0.29149460792541504
2014-11-01,BP13_s2,0.29966500401496887
2014-11-01,BP14_s2,0.34045523405075073
2014-11-01,LH01_s2,0.6032769680023193
2014-11-01,LH02_s2,0.6710609793663025
2014-11-01,LH07_s2,NA
2014-11-01,LH10_s2,NA
2014-11-01,PB02_s2,NA
2014-11-01,PB03_s2,NA
2014-11-01,PB10_s2,NA
2014-11-01,PB11_s2,NA
2014-11-01,PL02_s2,NA
2014-11-01,PL03_s2,NA
2014-11-01,PL14_s2,NA
2014-11-01,PL16_s2,NA
2014-12-01,BP01_s2,0.3106953501701355
2014-12-01,BP02_s2,0.341726154088974
2014-12-01,BP03_s2,0.21264205873012543
2014-12-01,BP05_s2,0.2959960699081421
2014-12-01,BP06_s2,0.24892795085906982
2014-12-01,BP08_s2,0.2462233006954193
2014-12-01,BP10_s2,0.2543834447860718
2014-12-01,BP13_s2,0.30585649609565735
2014-12-01,BP14_s2,0.21205374598503113
2014-12-01,LH01_s2,NA
2014-12-01,LH02_s2,0.4637337923049927
2014-12-01,LH07_s2,0.424724817276001
2014-12-01,LH10_s2,NA
2014-12-01,PB02_s2,NA
2014-12-01,PB03_s2,NA
2014-12-01,PB10_s2,NA
2014-12-01,PB11_s2,NA
2014-12-01,PL02_s2,0.7352570295333862
2014-12-01,PL03_s2,NA
2014-12-01,PL14_s2,NA
2014-12-01,PL16_s2,0.4622846245765686
2015-01-01,BP01_s2,0.3312424123287201
2015-01-01,BP02_s2,0.3082803189754486
2015-01-01,BP03_s2,0.29951512813568115
2015-01-01,BP05_s2,0.2949470281600952
2015-01-01,BP06_s2,0.25612586736679077
2015-01-01,BP08_s2,0.23713336884975433
2015-01-01,BP10_s2,0.2894704341888428
