Date,Site,SST
2015-04-01,LH02_s2,18.795000076293945
2015-04-01,LH07_s2,18.364999771118164
2015-04-01,LH10_s2,18.584999084472656
2015-04-01,PB02_s2,NA
2015-04-01,PB03_s2,NA
2015-04-01,PB10_s2,NA
2015-04-01,PB11_s2,NA
2015-04-01,PL02_s2,23
2015-04-01,PL03_s2,NA
2015-04-01,PL14_s2,NA
2015-04-01,PL16_s2,20.154998779296875
2015-05-01,BP01_s2,16.059999465942383
2015-05-01,BP02_s2,NA
2015-05-01,BP03_s2,NA
2015-05-01,BP05_s2,NA
2015-05-01,BP06_s2,NA
2015-05-01,BP08_s2,15.329999923706055
2015-05-01,BP10_s2,14.755000114440918
2015-05-01,BP13_s2,16.475000381469727
2015-05-01,BP14_s2,NA
2015-05-01,LH01_s2,NA
2015-05-01,LH02_s2,13.554999351501465
2015-05-01,LH07_s2,13.649999618530273
2015-05-01,LH10_s2,NA
2015-05-01,PB02_s2,NA
2015-05-01,PB03_s2,NA
2015-05-01,PB10_s2,NA
2015-05-01,PB11_s2,NA
2015-05-01,PL02_s2,NA
2015-05-01,PL03_s2,NA
2015-05-01,PL14_s2,NA
2015-05-01,PL16_s2,NA
2015-06-01,BP01_s2,12.264999389648438
2015-06-01,BP02_s2,12.795000076293945
2015-06-01,BP03_s2,12.609999656677246
2015-06-01,BP05_s2,NA
2015-06-01,BP06_s2,11.324999809265137
2015-06-01,BP08_s2,14.269999504089355
2015-06-01,BP10_s2,12.5649995803833
2015-06-01,BP13_s2,13.630000114440918
2015-06-01,BP14_s2,14.184999465942383
2015-06-01,LH01_s2,14.8149995803833
2015-06-01,LH02_s2,14.924999237060547
2015-06-01,LH07_s2,14.420000076293945
2015-06-01,LH10_s2,15.399999618530273
2015-06-01,PB02_s2,NA
2015-06-01,PB03_s2,NA
2015-06-01,PB10_s2,NA
2015-06-01,PB11_s2,NA
2015-06-01,PL02_s2,12.59000015258789
2015-06-01,PL03_s2,NA
2015-06-01,PL14_s2,NA
2015-06-01,PL16_s2,12.304999351501465
2015-07-01,BP01_s2,NA
2015-07-01,BP02_s2,NA
2015-07-01,BP03_s2,10.979999542236328
2015-07-01,BP05_s2,NA
2015-07-01,BP06_s2,10.114999771118164
2015-07-01,BP08_s2,9.6399993896484375
2015-07-01,BP10_s2,NA
2015-07-01,BP13_s2,9.59000015258789
2015-07-01,BP14_s2,NA
2015-07-01,LH01_s2,NA
2015-07-01,LH02_s2,NA
2015-07-01,LH07_s2,NA
2015-07-01,LH10_s2,NA
2015-07-01,PB02_s2,NA
2015-07-01,PB03_s2,NA
2015-07-01,PB10_s2,NA
2015-07-01,PB11_s2,NA
2015-07-01,PL02_s2,NA
2015-07-01,PL03_s2,NA
2015-07-01,PL14_s2,NA
2015-07-01,PL16_s2,11.234999656677246
2015-08-01,BP01_s2,NA
2015-08-01,BP02_s2,NA
2015-08-01,BP03_s2,NA
2015-08-01,BP05_s2,NA
2015-08-01,BP06_s2,NA
2015-08-01,BP08_s2,8.204999923706055
2015-08-01,BP10_s2,NA
2015-08-01,BP13_s2,NA
2015-08-01,BP14_s2,NA
2015-08-01,LH01_s2,NA
2015-08-01,LH02_s2,NA
2015-08-01,LH07_s2,NA
2015-08-01,LH10_s2,NA
2015-08-01,PB02_s2,NA
2015-08-01,PB03_s2,NA
2015-08-01,PB10_s2,NA
2015-08-01,PB11_s2,NA
2015-08-01,PL02_s2,NA
2015-08-01,PL03_s2,NA
2015-08-01,PL14_s2,NA
2015-08-01,PL16_s2,NA
2015-09-01,BP01_s2,8.845000267028809
2015-09-01,BP02_s2,NA
2015-09-01,BP03_s2,8.699999809265137
2015-09-01,BP05_s2,9.434999465942383
2015-09-01,BP06_s2,9.414999961853027
2015-09-01,BP08_s2,9.269999504089355
2015-09-01,BP10_s2,9.385000228881836
2015-09-01,BP13_s2,NA
2015-09-01,BP14_s2,NA
2015-09-01,LH01_s2,8.8149995803833
2015-09-01,LH02_s2,8.5649995803833
2015-09-01,LH07_s2,9.119999885559082
2015-09-01,LH10_s2,9.59999942779541
2015-09-01,PB02_s2,NA
2015-09-01,PB03_s2,NA
2015-09-01,PB10_s2,NA
2015-09-01,PB11_s2,NA
2015-09-01,PL02_s2,NA
2015-09-01,PL03_s2,NA
2015-09-01,PL14_s2,NA
2015-09-01,PL16_s2,NA
2015-10-01,BP01_s2,10.914999961853027
2015-10-01,BP02_s2,12.00999927520752
2015-10-01,BP03_s2,11.029999732971191
2015-10-01,BP05_s2,NA
2015-10-01,BP06_s2,8.984999656677246
2015-10-01,BP08_s2,10.854999542236328
2015-10-01,BP10_s2,8.829999923706055
2015-10-01,BP13_s2,10.880000114440918
2015-10-01,BP14_s2,11.229999542236328
2015-10-01,LH01_s2,9.09999942779541
2015-10-01,LH02_s2,9.104999542236328
2015-10-01,LH07_s2,9.010000228881836
2015-10-01,LH10_s2,12.059999465942383
2015-10-01,PB02_s2,NA
2015-10-01,PB03_s2,NA
2015-10-01,PB10_s2,NA
2015-10-01,PB11_s2,NA
2015-10-01,PL02_s2,12.644999504089355
2015-10-01,PL03_s2,NA
2015-10-01,PL14_s2,NA
2015-10-01,PL16_s2,12.329999923706055
2015-11-01,BP01_s2,11.199999809265137
2015-11-01,BP02_s2,NA
2015-11-01,BP03_s2,11.25
2015-11-01,BP05_s2,11.829999923706055
2015-11-01,BP06_s2,11.524999618530273
2015-11-01,BP08_s2,11.279999732971191
2015-11-01,BP10_s2,10.65999984741211
2015-11-01,BP13_s2,11.664999961853027
2015-11-01,BP14_s2,11.4399995803833
2015-11-01,LH01_s2,12.125
2015-11-01,LH02_s2,12.639999389648438
2015-11-01,LH07_s2,13.494999885559082
2015-11-01,LH10_s2,12.274999618530273
2015-11-01,PB02_s2,NA
2015-11-01,PB03_s2,NA
2015-11-01,PB10_s2,NA
2015-11-01,PB11_s2,NA
2015-11-01,PL02_s2,NA
2015-11-01,PL03_s2,NA
2015-11-01,PL14_s2,NA
2015-11-01,PL16_s2,NA
2015-12-01,BP01_s2,14.389999389648438
2015-12-01,BP02_s2,16.395000457763672
2015-12-01,BP03_s2,14.3149995803833
2015-12-01,BP05_s2,14.170000076293945
2015-12-01,BP06_s2,14.25999927520752
2015-12-01,BP08_s2,14.154999732971191
2015-12-01,BP10_s2,14.164999961853027
2015-12-01,BP13_s2,15.194999694824219
2015-12-01,BP14_s2,14.380000114440918
2015-12-01,LH01_s2,15.614999771118164
2015-12-01,LH02_s2,NA
2015-12-01,LH07_s2,15.519999504089355
2015-12-01,LH10_s2,15.054999351501465
2015-12-01,PB02_s2,NA
2015-12-01,PB03_s2,NA
2015-12-01,PB10_s2,NA
2015-12-01,PB11_s2,NA
2015-12-01,PL02_s2,NA
2015-12-01,PL03_s2,NA
2015-12-01,PL14_s2,15.894999504089355
2015-12-01,PL16_s2,NA
2016-01-01,BP01_s2,16.889999389648438
2016-01-01,BP02_s2,18.594999313354492
2016-01-01,BP03_s2,16.434999465942383
