SiteFrom,Date,Median
BP13,2016-09-01,NA
BP13,2016-10-01,11.804999351501465
BP13,2016-11-01,14.929999351501465
BP13,2016-12-01,16.43000030517578
BP13,2017-01-01,NA
BP13,2017-02-01,18.0049991607666
BP13,2017-03-01,19.354999542236328
BP13,2017-04-01,19.462499618530273
BP13,2017-05-01,14.929999351501465
BP13,2017-06-01,12.15250015258789
BP13,2017-07-01,NA
BP13,2017-08-01,NA
BP13,2017-09-01,9.202499866485596
BP13,2017-10-01,9.75
BP13,2017-11-01,14.644999504089355
BP13,2017-12-01,17.367499351501465
BP13,2018-01-01,21.539999961853027
BP13,2018-02-01,17.5049991607666
BP13,2018-03-01,18.21500015258789
BP13,2018-04-01,17.15499973297119
BP13,2018-05-01,15.614999771118164
BP13,2018-06-01,13.834999561309814
BP13,2018-07-01,9.434999465942383
BP13,2018-08-01,9.019999504089355
BP13,2018-09-01,10.170000076293945
BP13,2018-10-01,11.489999771118164
BP13,2018-11-01,14.274999618530273
BP13,2018-12-01,NA
BP13,2019-01-01,NA
BP13,2019-02-01,NA
BP13,2019-03-01,20
BP13,2019-04-01,19.10999870300293
LH02,2002-07-01,8.487499713897705
LH02,2002-08-01,14.81365442276001
LH02,2002-09-01,10.444999694824219
LH02,2002-10-01,NA
LH02,2002-11-01,14.5625
LH02,2002-12-01,NA
LH02,2003-01-01,17.98499870300293
LH02,2003-02-01,23.66499900817871
LH02,2003-03-01,23.274999618530273
LH02,2003-04-01,19.232500076293945
LH02,2003-05-01,13.549999237060547
LH02,2003-06-01,13
LH02,2003-07-01,NA
LH02,2003-08-01,8.829999923706055
LH02,2003-09-01,10.139999389648437
LH02,2003-10-01,12.837499618530273
LH02,2003-11-01,13.729999542236328
LH02,2003-12-01,18.272500038146973
LH02,2004-01-01,NA
LH02,2004-02-01,34.21500015258789
LH02,2004-03-01,23.84000015258789
LH02,2004-04-01,18.177499771118164
LH02,2004-05-01,18.225000381469727
LH02,2004-06-01,11.675000190734863
LH02,2004-07-01,11.449999809265137
LH02,2004-08-01,7.980000019073486
LH02,2004-09-01,8.519999504089355
LH02,2004-10-01,12.792499542236328
LH02,2004-11-01,11.15999984741211
LH02,2004-12-01,18.209999084472656
LH02,2005-01-01,NA
LH02,2005-02-01,21.869998931884766
LH02,2005-03-01,23.674999237060547
LH02,2005-04-01,16.15999984741211
LH02,2005-05-01,15.97249984741211
LH02,2005-06-01,12.425000190734863
LH02,2005-07-01,NA
LH02,2005-08-01,8.6875
LH02,2005-09-01,10.024999618530273
LH02,2005-10-01,10.899999618530273
LH02,2005-11-01,17.7549991607666
LH02,2005-12-01,16.929999351501465
LH02,2006-01-01,20.59000015258789
LH02,2006-02-01,23.600000381469727
LH02,2006-03-01,21.020000457763672
LH02,2006-04-01,18.35999870300293
LH02,2006-05-01,15.269999504089355
LH02,2006-06-01,NA
LH02,2006-07-01,NA
LH02,2006-08-01,NA
LH02,2006-09-01,10.84749984741211
LH02,2006-10-01,10.774999618530273
LH02,2006-11-01,10.649999618530273
LH02,2006-12-01,NA
LH02,2007-01-01,19.564998626708984
LH02,2007-02-01,NA
LH02,2007-03-01,21.69499969482422
LH02,2007-04-01,18.334999084472656
LH02,2007-05-01,16.279998779296875
LH02,2007-06-01,NA
LH02,2007-07-01,5.764999866485596
LH02,2007-08-01,7.264999866485596
LH02,2007-09-01,8.800000190734863
LH02,2007-10-01,11.0024995803833
LH02,2007-11-01,17.75
LH02,2007-12-01,21.889999389648437
LH02,2008-01-01,NA
LH02,2008-02-01,26.10999870300293
LH02,2008-03-01,21.03999900817871
LH02,2008-04-01,23.827499389648438
LH02,2008-05-01,15.154999732971191
LH02,2008-06-01,NA
LH02,2008-07-01,NA
LH02,2008-08-01,NA
LH02,2008-09-01,9.059999465942383
LH02,2008-10-01,NA
LH02,2008-11-01,NA
LH02,2008-12-01,17.244998931884766
LH02,2009-01-01,21.8799991607666
LH02,2009-02-01,NA
LH02,2009-03-01,22.600000381469727
LH02,2009-04-01,17.549999237060547
LH02,2009-05-01,13.069999694824219
LH02,2009-06-01,11.125
LH02,2009-07-01,8.364999771118164
LH02,2009-08-01,7.529999732971191
LH02,2009-09-01,11.34000015258789
LH02,2009-10-01,13.487499713897705
LH02,2009-11-01,13.279999732971191
LH02,2009-12-01,NA
LH02,2010-01-01,NA
LH02,2010-02-01,NA
LH02,2010-03-01,23.514999389648438
LH02,2010-04-01,19.434999465942383
LH02,2010-05-01,14.582499504089355
LH02,2010-06-01,13.244999885559082
LH02,2010-07-01,10.084999561309814
LH02,2010-08-01,8.5149993896484375
LH02,2010-09-01,8.97499942779541
LH02,2010-10-01,10.414999961853027
LH02,2010-11-01,13.777499675750732
LH02,2010-12-01,16.53749942779541
LH02,2011-01-01,26.847498893737793
LH02,2011-02-01,24.614999771118164
LH02,2011-03-01,23.56999969482422
LH02,2011-04-01,NA
LH02,2011-05-01,13.46500015258789
LH02,2011-06-01,11.204999923706055
LH02,2011-07-01,NA
LH02,2011-08-01,7.734999656677246
LH02,2011-09-01,8.97499942779541
LH02,2011-10-01,9.59000015258789
LH02,2011-11-01,13.854999542236328
LH02,2011-12-01,NA
LH02,2012-01-01,19.247499465942383
LH02,2012-02-01,NA
LH02,2012-03-01,NA
LH02,2012-04-01,18.4424991607666
LH02,2012-05-01,16.387499809265137
LH02,2012-06-01,10.649999618530273
LH02,2012-07-01,8.977499961853027
LH02,2012-08-01,NA
LH02,2012-09-01,11.884999752044678
LH02,2012-10-01,NA
LH02,2012-11-01,NA
LH02,2012-12-01,17.60999870300293
LH02,2013-01-01,NA
LH02,2013-02-01,NA
LH02,2013-03-01,NA
LH02,2013-04-01,20.53999900817871
LH02,2013-05-01,18.844999313354492
LH02,2013-06-01,13.364999771118164
LH02,2013-07-01,NA
LH02,2013-08-01,9.259999752044678
LH02,2013-09-01,11.894999504089355
LH02,2013-10-01,NA
LH02,2013-11-01,NA
LH02,2013-12-01,18.53999900817871
LH02,2014-01-01,21.59249973297119
LH02,2014-02-01,21.834999084472656
LH02,2014-03-01,24.5049991607666
LH02,2014-04-01,16.579999923706055
LH02,2014-05-01,NA
LH02,2014-06-01,NA
LH02,2014-07-01,9.729999542236328
LH02,2014-08-01,8.21500015258789
LH02,2014-09-01,NA
LH02,2014-10-01,NA
LH02,2014-11-01,15.104999542236328
LH02,2014-12-01,20.699999809265137
LH02,2015-01-01,21.229999542236328
LH02,2015-02-01,22.5049991607666
LH02,2015-03-01,23.369998931884766
LH02,2015-04-01,22.469999313354492
LH02,2015-05-01,12.069999694824219
LH02,2015-06-01,14.924999237060547
LH02,2015-07-01,6.824999809265137
LH02,2015-08-01,NA
LH02,2015-09-01,9.272499561309814
LH02,2015-10-01,11.399999618530273
LH02,2015-11-01,13.994999885559082
LH02,2015-12-01,NA
LH02,2016-01-01,23.719999313354492
LH02,2016-02-01,NA
LH02,2016-03-01,22.844999313354492
LH02,2016-04-01,22.649999618530273
LH02,2016-05-01,16.5049991607666
LH02,2016-06-01,15.1899995803833
LH02,2016-07-01,NA
LH02,2016-08-01,8.824999809265137
LH02,2016-09-01,6.389999866485596
LH02,2016-10-01,12.0649995803833
LH02,2016-11-01,17.065000534057617
LH02,2016-12-01,17.614999771118164
LH02,2017-01-01,NA
LH02,2017-02-01,20.827499389648438
LH02,2017-03-01,20.13249969482422
LH02,2017-04-01,24.22499942779541
LH02,2017-05-01,15.209999561309814
LH02,2017-06-01,9.582499980926514
LH02,2017-07-01,NA
LH02,2017-08-01,7.440000057220459
LH02,2017-09-01,11.97499942779541
LH02,2017-10-01,NA
LH02,2017-11-01,14.977499961853027
LH02,2017-12-01,18.71500015258789
LH02,2018-01-01,26.07499885559082
LH02,2018-02-01,NA
LH02,2018-03-01,19.59000015258789
LH02,2018-04-01,20.994998931884766
LH02,2018-05-01,15.644999504089355
LH02,2018-06-01,13.4399995803833
LH02,2018-07-01,9.109999656677246
LH02,2018-08-01,8.135000228881836
LH02,2018-09-01,NA
LH02,2018-10-01,11.0649995803833
LH02,2018-11-01,14.369999885559082
LH02,2018-12-01,14.69249963760376
LH02,2019-01-01,NA
LH02,2019-02-01,23.43000030517578
LH02,2019-03-01,24.809999465942383
LH02,2019-04-01,NA
LH01,2002-07-01,8.079999923706055
LH01,2002-08-01,14.834006309509277
LH01,2002-09-01,9.59000015258789
LH01,2002-10-01,11.050000190734863
LH01,2002-11-01,14.024999618530273
LH01,2002-12-01,15.274999618530273
LH01,2003-01-01,16.50749969482422
LH01,2003-02-01,20.964999198913574
LH01,2003-03-01,19.469999313354492
LH01,2003-04-01,18.225000381469727
LH01,2003-05-01,15.19749927520752
LH01,2003-06-01,14.167499542236328
LH01,2003-07-01,NA
LH01,2003-08-01,7.999999761581421
LH01,2003-09-01,9.167500019073486
LH01,2003-10-01,11.529999732971191
LH01,2003-11-01,11.65999984741211
LH01,2003-12-01,15.604999542236328
LH01,2004-01-01,21.18000030517578
LH01,2004-02-01,21.774999618530273
LH01,2004-03-01,20.889999389648437
LH01,2004-04-01,18.844999313354492
LH01,2004-05-01,15.059999465942383
LH01,2004-06-01,11.625
LH01,2004-07-01,NA
LH01,2004-08-01,7.2799999713897705
LH01,2004-09-01,NA
LH01,2004-10-01,11.525000095367432
LH01,2004-11-01,10.460000038146973
LH01,2004-12-01,18.06999969482422
LH01,2005-01-01,NA
LH01,2005-02-01,20.999999046325684
LH01,2005-03-01,22.18000030517578
LH01,2005-04-01,17.619998931884766
LH01,2005-05-01,15.514999866485596
LH01,2005-06-01,NA
LH01,2005-07-01,NA
LH01,2005-08-01,NA
LH01,2005-09-01,9.2649993896484375
LH01,2005-10-01,10.857500076293945
LH01,2005-11-01,14.574999809265137
LH01,2005-12-01,17.03999900817871
LH01,2006-01-01,17.8799991607666
LH01,2006-02-01,20.327499389648437
LH01,2006-03-01,19.429999351501465
LH01,2006-04-01,16.520000457763672
LH01,2006-05-01,15.34999942779541
LH01,2006-06-01,NA
LH01,2006-07-01,7.349999904632568
LH01,2006-08-01,10.292499542236328
LH01,2006-09-01,9.40999984741211
LH01,2006-10-01,11.069999694824219
LH01,2006-11-01,10.969999313354492
LH01,2006-12-01,16.10999870300293
LH01,2007-01-01,17.645000457763672
LH01,2007-02-01,18.672499179840088
LH01,2007-03-01,20.704999923706055
LH01,2007-04-01,18.04499912261963
LH01,2007-05-01,14.880000114440918
LH01,2007-06-01,13.34000015258789
LH01,2007-07-01,8.09999942779541
LH01,2007-08-01,7.460000038146973
LH01,2007-09-01,10.449999809265137
LH01,2007-10-01,9.510000228881836
LH01,2007-11-01,12.659999370574951
LH01,2007-12-01,18.654998779296875
LH01,2008-01-01,19.020000457763672
LH01,2008-02-01,21.684999465942383
LH01,2008-03-01,19.145000457763672
LH01,2008-04-01,16.897499084472656
LH01,2008-05-01,16.494998931884766
LH01,2008-06-01,10.795000076293945
LH01,2008-07-01,NA
LH01,2008-08-01,NA
LH01,2008-09-01,8.104999542236328
LH01,2008-10-01,11.50999927520752
LH01,2008-11-01,NA
LH01,2008-12-01,15.209999561309814
LH01,2009-01-01,21.885000228881836
LH01,2009-02-01,NA
LH01,2009-03-01,NA
LH01,2009-04-01,15.97499942779541
LH01,2009-05-01,15.9399995803833
LH01,2009-06-01,12.78499984741211
LH01,2009-07-01,8.739999771118164
LH01,2009-08-01,7.424999713897705
LH01,2009-09-01,9.822499752044678
LH01,2009-10-01,10.760000228881836
LH01,2009-11-01,12.104999542236328
LH01,2009-12-01,16.94499969482422
LH01,2010-01-01,18.094999313354492
LH01,2010-02-01,18.3799991607666
LH01,2010-03-01,19.91499900817871
LH01,2010-04-01,19.16499900817871
LH01,2010-05-01,15.324999809265137
LH01,2010-06-01,13.444999694824219
LH01,2010-07-01,10.842499732971191
LH01,2010-08-01,9
LH01,2010-09-01,9.164999961853027
LH01,2010-10-01,11.979999542236328
LH01,2010-11-01,12.642499446868896
LH01,2010-12-01,15.589999198913574
LH01,2011-01-01,20.094999313354492
LH01,2011-02-01,23.3774995803833
LH01,2011-03-01,21.5049991607666
LH01,2011-04-01,18.309999465942383
LH01,2011-05-01,14.514999389648437
LH01,2011-06-01,11.59999942779541
LH01,2011-07-01,NA
LH01,2011-08-01,8.414999961853027
LH01,2011-09-01,9.255000114440918
LH01,2011-10-01,9.357500076293945
LH01,2011-11-01,13.519999980926514
LH01,2011-12-01,13.380000114440918
LH01,2012-01-01,NA
LH01,2012-02-01,NA
LH01,2012-03-01,18.244998931884766
LH01,2012-04-01,16.270000457763672
LH01,2012-05-01,16.442500114440918
LH01,2012-06-01,11.114999771118164
LH01,2012-07-01,NA
LH01,2012-08-01,NA
LH01,2012-09-01,10.484999656677246
LH01,2012-10-01,10.9399995803833
LH01,2012-11-01,NA
LH01,2012-12-01,15.779999732971191
LH01,2013-01-01,20.78499984741211
LH01,2013-02-01,20.725000381469727
LH01,2013-03-01,NA
LH01,2013-04-01,19.28999900817871
LH01,2013-05-01,16.049999713897705
LH01,2013-06-01,13.25999927520752
LH01,2013-07-01,NA
LH01,2013-08-01,9.40999984741211
LH01,2013-09-01,10.674999713897705
LH01,2013-10-01,10.279999732971191
LH01,2013-11-01,15.029999732971191
LH01,2013-12-01,16.175000190734863
LH01,2014-01-01,19.244998931884766
LH01,2014-02-01,18.739999771118164
LH01,2014-03-01,20.649999618530273
LH01,2014-04-01,16.667500495910645
LH01,2014-05-01,14.5
LH01,2014-06-01,11.969999313354492
LH01,2014-07-01,9.829999923706055
LH01,2014-08-01,10.47499942779541
LH01,2014-09-01,NA
LH01,2014-10-01,10.894999504089355
LH01,2014-11-01,14.642499923706055
LH01,2014-12-01,18.90999984741211
LH01,2015-01-01,21.31999969482422
LH01,2015-02-01,21.84999942779541
LH01,2015-03-01,20.844999313354492
LH01,2015-04-01,18.68000030517578
LH01,2015-05-01,NA
LH01,2015-06-01,13.077499866485596
LH01,2015-07-01,NA
LH01,2015-08-01,NA
LH01,2015-09-01,9.289999961853027
LH01,2015-10-01,9.289999961853027
LH01,2015-11-01,12.679999351501465
LH01,2015-12-01,NA
LH01,2016-01-01,21.014999389648438
LH01,2016-02-01,NA
LH01,2016-03-01,19.709999084472656
LH01,2016-04-01,NA
LH01,2016-05-01,16.69749927520752
LH01,2016-06-01,15.857499599456787
LH01,2016-07-01,10.494999885559082
LH01,2016-08-01,NA
LH01,2016-09-01,8.65999984741211
LH01,2016-10-01,10.899999618530273
LH01,2016-11-01,16.024999618530273
LH01,2016-12-01,17.677499771118164
LH01,2017-01-01,NA
LH01,2017-02-01,19.019999504089355
LH01,2017-03-01,21.270000457763672
LH01,2017-04-01,22.3799991607666
LH01,2017-05-01,16.06999969482422
LH01,2017-06-01,11.835000038146973
LH01,2017-07-01,NA
LH01,2017-08-01,NA
